Elapsed Time (s),Charge Ah,Velocity m/s,Solar Output W(dc),Battery Connection 
0.0,1000000,0,0,0
300.0,1000000,0,0,0
600.0,1000000,0,0,0
900.0,1000000,0,0,0
1200.0,1000000,0,0,0
1500.0,1000000,0,0,0
1800.0,1000000,0,0,0
2100.0,1000000,0,0,0
2400.0,1000000,0,0,0
2700.0,1000000,0,0,0
3000.0,1000000,0,0,0
3300.0,1000000,0,0,0
3600.0,1000000,0,0,0
3900.0,1000000,0,0,0
4200.0,1000000,0,0,0
4500.0,1000000,0,0,0
4800.0,1000000,0,0,0
5100.0,1000000,0,0,0
5400.0,1000000,0,0,0
5700.0,1000000,0,0,0
6000.0,1000000,0,0,0
6300.0,1000000,0,0,0
6600.0,1000000,0,0,0
6900.0,1000000,0,0,0
7200.0,1000000,0,0,0
7500.0,1000000,0,0,0
7800.0,1000000,0,0,0
8100.0,1000000,0,0,0
8400.0,1000000,0,0,0
8700.0,1000000,0,0,0
9000.0,1000000,0,0,0
9300.0,1000000,0,0,0
9600.0,1000000,0,0,0
9900.0,1000000,0,0,0
10200.0,1000000,0,0,0
10500.0,1000000,0,0,0
10800.0,1000000,0,0,0
11100.0,1000000,0,0,0
11400.0,1000000,0,0,0
11700.0,1000000,0,0,0
12000.0,1000000,0,0,0
12300.0,1000000,0,0,0
12600.0,1000000,0,0,0
12900.0,1000000,0,0,0
13200.0,1000000,0,0,0
13500.0,1000000,0,0,0
13800.0,1000000,0,0,0
14100.0,1000000,0,0,0
14400.0,1000000,0,0,0
14700.0,1000000,0,0,0
15000.0,1000000,0,0,0
15300.0,1000000,0,0,0
15600.0,1000000,0,0,0
15900.0,1000000,0,0,0
16200.0,1000000,0,0,0
16500.0,1000000,0,0,0
16800.0,1000000,0,0,0
17100.0,1000000,0,0,0
17400.0,1000000,0,0,0
17700.0,1000000,0,0,0
18000.0,1000000,0,0,0
18300.0,1000000,0,0,0
18600.0,1000000,0,0,0
18900.0,1000000,0,0,0
19200.0,1000000,0,0,0
19500.0,1000000,0,0,0
19800.0,1000000,0,0,0
20100.0,1000000,0,0,0
20400.0,1000000,0,0,0
20700.0,1000000,0,0,0
21000.0,1000000,0,0,0
21300.0,1000000,0,0,0
21600.0,1000000,0,0,0
21900.0,1000000,0,0,0
22200.0,1000000,0,0,0
22500.0,1000000,0,0,0
22800.0,1000000,0,0,0
23100.0,1000000,0,0,0
23400.0,1000000,0,0,0
23700.0,1000000,0,0,0
24000.0,1000000,0,0,0
24300.0,1000000,0,0,0
24600.0,1000000,0,0,0
24900.0,1000000,0,0,0
25200.0,1000000,0,0,0
25500.0,1000000,0,0,0
25800.0,1000000,0,0,0
26100.0,1000000,0,0,0
26400.0,1000000,0,0,0
26700.0,1000000,0,0,0
27000.0,1000000,0,0,0
27300.0,1000000,0,0,0
27600.0,1000000,0,0,0
27900.0,1000000,0,0,0
28200.0,1000000,0,0,0
28500.0,1000000,0,0,0
28800.0,1000000,0,0,0
29100.0,1000000,0,0,0
29400.0,1000000,0,0,0
29700.0,1000000,0,0,0
30000.0,1000000,0,0,0
30300.0,1000000,0,0,0
30600.0,1000000,0,0,0
30900.0,1000000,0,0,0
31200.0,1000000,0,0,0
31500.0,1000000,0,0,0
31800.0,1000000,0,0,0
32100.0,1000000,0,0,0
32400.0,1156000,0,0,0
32700.0,1351000,0,0,0
33000.0,1546000,0,0,0
33300.0,1741000,0,0,0
33600.0,1936000,0,0,0
33900.0,2131000,0,0,0
34200.0,2326000,0,0,0
34500.0,2521000,0,0,0
34800.0,2716000,0,0,0
35100.0,2911000,0,0,0
35400.0,3106000,0,0,0
35700.0,3301000,0,0,0
36000.0,3496000,0,0,0
36300.0,3691000,0,0,0
36600.0,3886000,0,0,0
36900.0,4081000,0,0,0
37200.0,4276000,0,0,0
37500.0,4471000,0,0,0
37800.0,4666000,0,0,0
38100.0,4861000,0,0,0
38400.0,5056000,0,0,0
38700.0,5251000,0,0,0
39000.0,5446000,0,0,0
39300.0,5641000,0,0,0
39600.0,5604880.0,24.0,0,0
39900.0,5510980.0,24.0,0,0
40200.0,5417080.0,24.0,0,0
40500.0,5323180.0,24.0,0,0
40800.0,5229280.0,24.0,0,0
41100.0,5135380.0,24.0,0,0
41400.0,5041480.0,24.0,0,0
41700.0,4947580.0,24.0,0,0
42000.0,4853680.0,24.0,0,0
42300.0,4759780.0,24.0,0,0
42600.0,4665880.0,24.0,0,0
42900.0,4571980.0,24.0,0,0
43200.0,4478080.0,24.0,0,0
43500.0,4384180.0,24.0,0,0
43800.0,4290280.0,24.0,0,0
44100.0,4196380.0,24.0,0,0
44400.0,4102480.0,24.0,0,0
44700.0,4008580.0,24.0,0,0
45000.0,3914680.0,24.0,0,0
45300.0,3820780.0,24.0,0,0
45600.0,3726880.0,24.0,0,0
45900.0,3632980.0,24.0,0,0
46200.0,3539080.0,24.0,0,0
46500.0,3445180.0,24.0,0,0
46800.0,3351280.0,24.0,0,0
47100.0,3257380.0,24.0,0,0
47400.0,3163480.0,24.0,0,0
47700.0,3069580.0,24.0,0,0
48000.0,2975680.0,24.0,0,0
48300.0,2881780.0,24.0,0,0
48600.0,2787880.0,24.0,0,0
48900.0,2693980.0,24.0,0,0
49200.0,2600080.0,24.0,0,0
49500.0,2506180.0,24.0,0,0
49800.0,2412280.0,24.0,0,0
50100.0,2318380.0,24.0,0,0
50400.0,2455600.0,0,0,0
50700.0,2650600.0,0,0,0
51000.0,2845600.0,0,0,0
51300.0,3040600.0,0,0,0
51600.0,3235600.0,0,0,0
51900.0,3430600.0,0,0,0
52200.0,3625600.0,0,0,0
52500.0,3820600.0,0,0,0
52800.0,4015600.0,0,0,0
53100.0,4210600.0,0,0,0
53400.0,4405600.0,0,0,0
53700.0,4600600.0,0,0,0
54000.0,4564480.0,24.0,0,0
54300.0,4470580.0,24.0,0,0
54600.0,4376680.0,24.0,0,0
54900.0,4282780.0,24.0,0,0
55200.0,4188880.0,24.0,0,0
55500.0,4094980.0,24.0,0,0
55800.0,4001080.0,24.0,0,0
56100.0,3907180.0,24.0,0,0
56400.0,3813280.0,24.0,0,0
56700.0,3719380.0,24.0,0,0
57000.0,3625480.0,24.0,0,0
57300.0,3531580.0,24.0,0,0
57600.0,3437680.0,24.0,0,0
57900.0,3343780.0,24.0,0,0
58200.0,3249880.0,24.0,0,0
58500.0,3155980.0,24.0,0,0
58800.0,3062080.0,24.0,0,0
59100.0,2968180.0,24.0,0,0
59400.0,2874280.0,24.0,0,0
59700.0,2780380.0,24.0,0,0
60000.0,2686480.0,24.0,0,0
60300.0,2592580.0,24.0,0,0
60600.0,2498680.0,24.0,0,0
60900.0,2404780.0,24.0,0,0
61200.0,2310880.0,24.0,0,0
61500.0,2216980.0,24.0,0,0
61800.0,2123080.0,24.0,0,0
62100.0,2029180.0,24.0,0,0
62400.0,1935280.0,24.0,0,0
62700.0,1841380.0,24.0,0,0
63000.0,1747480.0,24.0,0,0
63300.0,1653580.0,24.0,0,0
63600.0,1559680.0,24.0,0,0
63900.0,1465780.0,24.0,0,0
64200.0,1371880.0,24.0,0,0
64500.0,1277980.0,24.0,0,0
64800.0,1184080.0,24.0,0,0
65100.0,1090180.0,24.0,0,0
65400.0,996280.0,24.0,0,0
65700.0,902380.0,24.0,0,0
66000.0,808480.0,24.0,0,0
66300.0,714580.0,24.0,0,0
66600.0,620680.0,24.0,0,0
66900.0,526780.0,24.0,0,0
67200.0,432880.0,24.0,0,0
67500.0,338980.0,24.0,0,0
67800.0,245080.0,24.0,0,0
68100.0,151180.0,24.0,0,0
68400.0,288400.0,0,0,0
68700.0,483400.0,0,0,0
69000.0,678400.0,0,0,0
69300.0,873400.0,0,0,0
69600.0,1068400.0,0,0,0
69900.0,1263400.0,0,0,0
70200.0,1458400.0,0,0,0
70500.0,1653400.0,0,0,0
70800.0,1848400.0,0,0,0
71100.0,2043400.0,0,0,0
71400.0,2238400.0,0,0,0
71700.0,2433400.0,0,0,0
72000.0,2628400.0,0,0,0
72300.0,2823400.0,0,0,0
72600.0,3018400.0,0,0,0
72900.0,3213400.0,0,0,0
73200.0,3408400.0,0,0,0
73500.0,3603400.0,0,0,0
